pdf_name	pdf_class	mh	peak_mass	peak_value	delta_peak_minus_mh	best_mean_name	best_mean_value	delta_best_mean_minus_mh	mean_names	mean_values
hggpdfsmrel_vh_in_2022preEE_cat2_13TeV_rv	RooAddPdf	125.379997	125.302631	0.167238742573	-0.077367	mean_g0_vh_in_2022preEE_cat2_13TeV_rv	125.605526	0.225529	mean_g0_vh_in_2022preEE_cat2_13TeV_rv;mean_g1_vh_in_2022preEE_cat2_13TeV_rv;mean_g2_vh_in_2022preEE_cat2_13TeV_rv;mean_g3_vh_in_2022preEE_cat2_13TeV_rv;mean_g4_vh_in_2022preEE_cat2_13TeV_rv	125.605526;122.990667;124.754587;124.494586;124.837523
hggpdfsmrel_vh_in_2022preEE_cat2_13TeV_wv	RooAddPdf	125.379997	125.033517	0.124576823265	-0.346480	mean_g1_vh_in_2022preEE_cat2_13TeV_wv	125.173029	-0.206968	mean_g0_vh_in_2022preEE_cat2_13TeV_wv;mean_g1_vh_in_2022preEE_cat2_13TeV_wv	124.116316;125.173029
hggpdfsmrel_vh_in_2023postBPix_cat0_13TeV_rv	RooAddPdf	125.379997	123.728410	0.338378011747	-1.651587	mean_g1_vh_in_2023postBPix_cat0_13TeV_rv	123.969328	-1.410669	mean_g0_vh_in_2023postBPix_cat0_13TeV_rv;mean_g1_vh_in_2023postBPix_cat0_13TeV_rv;mean_g2_vh_in_2023postBPix_cat0_13TeV_rv;mean_g3_vh_in_2023postBPix_cat0_13TeV_rv	123.315020;123.969328;122.090514;122.587621
hggpdfsmrel_vh_in_2023postBPix_cat0_13TeV_wv	RooAddPdf	125.379997	123.308724	0.209828858833	-2.071274	mean_g0_vh_in_2023postBPix_cat0_13TeV_wv	123.223572	-2.156425	mean_g0_vh_in_2023postBPix_cat0_13TeV_wv;mean_g1_vh_in_2023postBPix_cat0_13TeV_wv	123.223572;123.469839
hggpdfsmrel_vh_in_2023postBPix_cat1_13TeV_rv	RooAddPdf	125.379997	123.575835	0.264108917826	-1.804162	mean_g4_vh_in_2023postBPix_cat1_13TeV_rv	123.346855	-2.033142	mean_g0_vh_in_2023postBPix_cat1_13TeV_rv;mean_g1_vh_in_2023postBPix_cat1_13TeV_rv;mean_g2_vh_in_2023postBPix_cat1_13TeV_rv;mean_g3_vh_in_2023postBPix_cat1_13TeV_rv;mean_g4_vh_in_2023postBPix_cat1_13TeV_rv	122.947952;123.888197;123.231728;120.726057;123.346855
hggpdfsmrel_vh_in_2023postBPix_cat1_13TeV_wv	RooAddPdf	125.379997	123.584844	0.185001706039	-1.795153	mean_g0_vh_in_2023postBPix_cat1_13TeV_wv	123.826687	-1.553310	mean_g0_vh_in_2023postBPix_cat1_13TeV_wv;mean_g1_vh_in_2023postBPix_cat1_13TeV_wv	123.826687;122.670293
hggpdfsmrel_vh_in_2023postBPix_cat2_13TeV_rv	RooAddPdf	125.379997	123.988515	0.16360031637	-1.391482	mean_g1_vh_in_2023postBPix_cat2_13TeV_rv	123.819939	-1.560058	mean_g0_vh_in_2023postBPix_cat2_13TeV_rv;mean_g1_vh_in_2023postBPix_cat2_13TeV_rv;mean_g2_vh_in_2023postBPix_cat2_13TeV_rv;mean_g3_vh_in_2023postBPix_cat2_13TeV_rv	123.440953;123.819939;125.293964;122.997559
hggpdfsmrel_vh_in_2023postBPix_cat2_13TeV_wv	RooAddPdf	125.379997	123.795477	0.11191000871	-1.584520	mean_g0_vh_in_2023postBPix_cat2_13TeV_wv	123.795814	-1.584183	mean_g0_vh_in_2023postBPix_cat2_13TeV_wv	123.795814
hggpdfsmrel_vh_in_2023preBPix_cat0_13TeV_rv	RooAddPdf	125.379997	125.686281	0.309388543406	0.306284	mean_g0_vh_in_2023preBPix_cat0_13TeV_rv	125.686141	0.306143	mean_g0_vh_in_2023preBPix_cat0_13TeV_rv	125.686141
hggpdfsmrel_vh_in_2023preBPix_cat0_13TeV_wv	RooAddPdf	125.379997	125.422173	0.111066563544	0.042175	mean_g1_vh_in_2023preBPix_cat0_13TeV_wv	125.580987	0.200990	mean_g0_vh_in_2023preBPix_cat0_13TeV_wv;mean_g1_vh_in_2023preBPix_cat0_13TeV_wv	124.426644;125.580987
hggpdfsmrel_vh_in_2023preBPix_cat1_13TeV_rv	RooAddPdf	125.379997	125.686281	0.232479695926	0.306284	mean_g0_vh_in_2023preBPix_cat1_13TeV_rv	125.711257	0.331260	mean_g0_vh_in_2023preBPix_cat1_13TeV_rv;mean_g1_vh_in_2023preBPix_cat1_13TeV_rv	125.711257;123.784637
hggpdfsmrel_vh_in_2023preBPix_cat1_13TeV_wv	RooAddPdf	125.379997	125.429180	0.109367860815	0.049182	mean_g1_vh_in_2023preBPix_cat1_13TeV_wv	125.587605	0.207607	mean_g0_vh_in_2023preBPix_cat1_13TeV_wv;mean_g1_vh_in_2023preBPix_cat1_13TeV_wv	124.433201;125.587605
hggpdfsmrel_vh_in_2023preBPix_cat2_13TeV_rv	RooAddPdf	125.379997	125.346097	0.15462645967	-0.033901	mean_g1_vh_in_2023preBPix_cat2_13TeV_rv	124.666736	-0.713261	mean_g0_vh_in_2023preBPix_cat2_13TeV_rv;mean_g1_vh_in_2023preBPix_cat2_13TeV_rv;mean_g2_vh_in_2023preBPix_cat2_13TeV_rv	126.435773;124.666736;124.100904
hggpdfsmrel_vh_in_2023preBPix_cat2_13TeV_wv	RooAddPdf	125.379997	125.170076	0.112483228353	-0.209922	mean_g1_vh_in_2023preBPix_cat2_13TeV_wv	125.327991	-0.052007	mean_g0_vh_in_2023preBPix_cat2_13TeV_wv;mean_g1_vh_in_2023preBPix_cat2_13TeV_wv	124.175974;125.327991
